stage_id,i,j,x_um,y_um,normal_force_n,material_i,material_j,contact_type,reduced_radius_um,reduced_modulus_gpa,contact_radius_um,contact_radius_fraction,hertz_warning,electrical_resistance_ohm,electrical_conductance_s,thermal_constriction_resistance_k_w,thermal_interface_resistance_k_w,thermal_resistance_k_w,thermal_conductance_w_k,al_al_resistance_multiplier
stage5_rho095,6,1,167.495,74.2331,3.3373777600000003,Diamond,Diamond,Diamond-Diamond,19.5,151.51515151515153,6.855119963425948,0.1757723067545115,False,7.29381838199251e+17,1.3710239926851897e-18,54.02828431105563,0.0,54.02828431105563,0.018508823901250058,1.0
stage5_rho095,62,33,227.032,10.9677,0.09962905350000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.162733479507394,0.32021026765441496,True,0.0031830046447191636,314.1685644911241,506.80752244553196,0.0,506.80752244553196,0.0019731356692865047,1.0
stage5_rho095,62,35,218.547,22.0263,0.137886627,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.638995883007826,0.3568458371544482,True,0.002856221547540797,350.11289683077933,454.7761400431171,0.0,454.7761400431171,0.00219888404854571,1.0
stage5_rho095,33,42,251.203,8.6537,0.011311932600000001,Al,Al,Al-Al,6.500000000000001,6.733251038042868,2.0157138229682445,0.15505490945909575,False,0.006573353741499216,152.12934512967885,1046.6290488813336,0.0,1046.6290488813336,0.000955448352086948,1.0
stage5_rho095,33,2,245.768,20.935,0.22065452900000002,Al,Diamond,Al-Diamond,9.75,12.893521005694637,5.001908362261305,0.38476218171240806,True,4.998092365830107e+17,2.0007633449045217e-18,247.912879655333,159.03352249582278,406.9464021511558,0.0024573260623853873,1.0
stage5_rho095,35,70,219.241,44.6781,0.0625869913,Al,Al,Al-Al,6.500000000000001,6.733251038042868,3.565151276927627,0.27424240591750976,True,0.0037165323350370066,269.0680209001983,591.7573975060914,0.0,591.7573975060914,0.0016898817052636952,1.0
stage5_rho095,35,2,233.041,37.5229,0.298788302,Al,Diamond,Al-Diamond,9.75,12.893521005694637,5.533747163669936,0.42567285874384125,True,4.517734414056641e+17,2.2134988654679747e-18,224.0864045978399,129.93361321131155,354.02001780915145,0.0028246990274405606,1.0
stage5_rho095,42,2,264.526,17.7175,1.00388088,Al,Diamond,Al-Diamond,9.75,12.893521005694637,8.288173680237252,0.6375518215567116,True,3.016346056986147e+17,3.315269472094901e-18,149.61528965266496,57.92185390489441,207.53714355755938,0.004818414587664666,1.0
stage5_rho095,18,56,298.806,16.7414,0.16586095000000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.933608162650726,0.37950832020390207,True,0.0026856611962635165,372.34778586043217,427.6190106302868,0.0,427.6190106302868,0.0023385302690964445,1.0
stage5_rho095,18,2,284.817,19.6243,0.348156297,Al,Diamond,Al-Diamond,9.75,12.893521005694637,5.823126175433395,0.44793278272564585,True,4.2932265671092614e+17,2.3292504701733582e-18,212.95047857485224,117.34044727581966,330.2909258506719,0.0030276338879867103,1.0
stage5_rho095,61,56,312.539,16.6488,0.39852565900000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,6.607979707564153,0.5083061313510887,True,0.0020051514360482567,498.7154496274832,319.2662106597017,0.0,319.2662106597017,0.0031321823813854088,1.0
stage5_rho095,61,47,323.828,18.4539,0.169154897,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.966054287025491,0.3820041759250378,True,0.0026681142078163484,374.79654996418805,424.8251266326484,0.0,424.8251266326484,0.0023539097320500833,1.0
stage5_rho095,61,26,329.19,8.83563,0.18846671900000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.148272123483592,0.3960209325756609,True,0.0025736790290398154,388.5488395081956,409.78887493667946,0.0,409.78887493667946,0.0024402809865312226,1.0
stage5_rho095,56,47,318.138,26.2368,0.12707193400000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.514397717817947,0.3472613629090729,True,0.0029350537609265943,340.7092617221092,467.328040908621,0.0,467.328040908621,0.002139824518245707,1.0
stage5_rho095,56,2,296.881,31.1598,0.41298056600000005,Al,Diamond,Al-Diamond,9.75,12.893521005694637,6.1641706604479465,0.4741669738806113,True,4.055695628352909e+17,2.4656682641791785e-18,201.168587660449,104.7154666028745,305.8840542633235,0.0032692125858222723,1.0
