% x_um y_um sigma_s_m k_w_mk
145 29.8140762857 80902.0905933 41.4781293577
150 29.8140762857 38164.5646318 34.5218466818
155 29.8140762857 15379.0488963 28.6447679789
160 29.8140762857 5316.44804365 24.5103046525
165 29.8140762857 1619.38683734 22.0995987914
170 29.8140762857 519.657135863 21.0040773624
175 29.8140762857 419.111243435 20.8464255044
180 29.8140762857 1130.17429768 21.5538888979
185 29.8140762857 3699.96582545 23.3835992753
190 29.8140762857 10829.6196631 26.6959191282
195 29.8140762857 27074.2579642 31.5474414711
200 29.8140762857 57314.5738605 37.3440208472
205 29.8140762857 100000 42.8940315611
210 29.8140762857 100000 46.9527762643
215 29.8140762857 100000 48.8748386004
220 29.8140762857 100000 48.8378687244
225 29.8140762857 100000 47.5112125541
230 29.8140762857 100000 45.5545718083
235 29.8140762857 100000 43.3821520608
240 29.8140762857 70323.441842 41.2553148997
245 29.8140762857 42635.3469541 39.4451553769
250 29.8140762857 27002.8366719 38.2160044156
255 29.8140762857 18370.9500467 37.6322584388
260 29.8140762857 12927.5298313 37.4535859683
