% x_um y_um sigma_s_m k_w_mk
375 24.8450635714 53142.4933254 62.1353481417
380 24.8450635714 45338.1504303 55.8288084285
385 24.8450635714 36908.248125 49.0167661616
390 24.8450635714 27933.3837726 41.7643505233
395 24.8450635714 19176.5803835 34.6881457644
400 24.8450635714 11783.7581909 28.7141480331
0 29.8140762857 22469.7841305 37.3493205095
5 29.8140762857 33011.4455153 45.8678347598
10 29.8140762857 43041.4839605 53.9729163317
15 29.8140762857 50371.6301813 59.8962668131
20 29.8140762857 53836.5273335 62.6961837038
25 29.8140762857 53764.8049384 62.6382262128
30 29.8140762857 51601.4739855 60.8900799883
35 29.8140762857 49103.6314201 58.8716213495
40 29.8140762857 47666.7619732 57.7105147258
45 29.8140762857 47997.6873191 57.9779291468
50 29.8140762857 50040.0156208 59.6282954512
55 29.8140762857 53079.2023257 62.0842038996
60 29.8140762857 56055.2543545 64.4890944279
65 29.8140762857 57991.9868924 66.0541308221
70 29.8140762857 58310.6655486 66.3116489281
