x_um,y_um,contact_factor,sigma_s_m,k_w_mk
285.0,4.969012714285714,0.2117589317268615,21964.134240959287,36.940714538148924
290.0,4.969012714285714,0.2207449969747477,22853.754700500023,37.65959975797982
295.0,4.969012714285714,0.23839515315119705,24601.12016196851,39.07161225209576
300.0,4.969012714285714,0.2631386481155136,27050.726163435844,41.05109184924109
305.0,4.969012714285714,0.2948466933972456,30189.822646327317,43.58773547177965
310.0,4.969012714285714,0.33282106069339046,33949.28500864565,46.625684855471235
315.0,4.969012714285714,0.37423840511690376,38049.602106573475,49.9390724093523
320.0,4.969012714285714,0.4140102636916281,41987.01610547118,53.12082109533024
325.0,4.969012714285714,0.44571328706463365,45125.61541939873,55.657062965170695
330.0,4.969012714285714,0.4633982499359401,46876.42674365807,57.071859994875204
335.0,4.969012714285714,0.46388566003002857,46924.68034297283,57.110852802402285
340.0,4.969012714285714,0.44826087233386636,45377.82636105277,55.86086978670931
345.0,4.969012714285714,0.42157792776418884,42736.214848654694,53.72623422113511
350.0,4.969012714285714,0.39112812586382,39721.68446051818,51.290250069105596
355.0,4.969012714285714,0.36411189358157214,37047.07746457564,49.12895148652577
360.0,4.969012714285714,0.3452229573944125,35177.07278204684,47.617836591553
365.0,4.969012714285714,0.3345808513579165,34123.50428443373,46.76646810863332
370.0,4.969012714285714,0.32676220899765046,33349.458690767395,46.14097671981204
375.0,4.969012714285714,0.3122075920474643,31908.551612698964,44.97660736379714
380.0,4.969012714285714,0.2818556021743499,28903.70461526064,42.54844817394799
385.0,4.969012714285714,0.2331102468108695,24077.91443427608,38.648819744869556
390.0,4.969012714285714,0.17253829259174674,18081.29096658293,33.803063407339735
395.0,4.969012714285714,0.11242887797515877,12130.458919540719,28.9943102380127
400.0,4.969012714285714,0.06377293389523055,7313.520455627824,25.101834711618444
0.0,9.938025428571429,0.14513421913147487,15368.287694016011,31.610737530517987
5.0,9.938025428571429,0.22443400596381488,23218.966590417673,37.95472047710519
10.0,9.938025428571429,0.30753803978233857,31446.265938451517,44.603043182587086
15.0,9.938025428571429,0.3804505508691947,38664.604536050276,50.436044069535576
20.0,9.938025428571429,0.4362325526760145,44187.022714925435,54.89860421408116
25.0,9.938025428571429,0.47845014974449873,48366.564824705376,58.2760119795599
30.0,9.938025428571429,0.5156993440093203,52054.235056922706,61.25594752074562
35.0,9.938025428571429,0.5526495023739502,55712.30073502107,64.21196018991601
40.0,9.938025428571429,0.5865686153481131,59070.292919463194,66.92548922784906
45.0,9.938025428571429,0.611054439343925,61494.38949504858,68.884355147514
50.0,9.938025428571429,0.6208892132892893,62468.03211563964,69.67113706314314
55.0,9.938025428571429,0.6140780433648487,61793.726293120024,69.1262434691879
60.0,9.938025428571429,0.5931785586143882,59724.67730282443,67.45428468915105
65.0,9.938025428571429,0.5666669186324367,57100.02494461123,65.33335349059493
70.0,9.938025428571429,0.5463416169693487,55087.82007996552,63.70732935754789
75.0,9.938025428571429,0.5400457491772418,54464.529168546935,63.20365993417934
80.0,9.938025428571429,0.5464456792920603,55098.12224991398,63.715654343364825
85.0,9.938025428571429,0.5571270131550348,56155.57430234844,64.57016105240278
90.0,9.938025428571429,0.5627673806617218,56713.97068551046,65.02139045293774
95.0,9.938025428571429,0.5577767876406673,56219.90197642606,64.62214301125339
100.0,9.938025428571429,0.5423697487745069,54694.60512867619,63.38957990196056
