stage_id,i,j,nx,ny,nz,gap_um,overlap_um,force_x,force_y,force_z,normal_force,contact_point_x_um,contact_point_y_um,contact_point_z_um,source,force_unit
pilot_final,24,33,0.129148719,0.591983589,-0.795535064,-0.339660292,0.339774,-19.1676,-113.075,150.175,188.883636,179.016,84.797,21.9361,liggghts_pair_gran_local,dyne
pilot_final,27,36,0.12837342,-0.705325085,0.697163388,-0.613124681,0.613088,-30.2677,401.205,-245.211,457.817567,201.547,67.1261,23.3049,liggghts_pair_gran_local,dyne
pilot_final,27,33,-0.758406686,0.642866412,-0.107434051,-0.624432557,0.624274,384.539,-274.866,19.2319,470.405886,190.295,84.2357,13.0924,liggghts_pair_gran_local,dyne
pilot_final,27,49,0.320924108,0.639262274,0.698821481,-0.554731809,0.554666,-95.4479,-293.912,-251.06,393.964606,204.001,84.2122,23.3463,liggghts_pair_gran_local,dyne
pilot_final,36,14,0.880992756,0.441663148,-0.169662688,-0.231302051,0.230897,-172.438,-153.648,24.3471,223.908005,214.545,63.8719,29.9651,liggghts_pair_gran_local,dyne
pilot_final,14,64,0.958434283,-0.229632726,0.169329666,-0.195592736,0.195718,-166.989,22.8007,-55.837,174.738275,247.427,67.6552,29.9627,liggghts_pair_gran_local,dyne
pilot_final,14,49,-0.722312983,0.66969476,0.172548208,-0.265400831,0.265192,147.096,-233.936,-73.5234,275.601287,217.394,83.7138,30.0133,liggghts_pair_gran_local,dyne
pilot_final,14,22,-0.350408431,0.667343797,-0.657165267,-0.255876686,0.255869,77.4831,-207.977,144.947,261.196606,224.029,83.6756,15.2027,liggghts_pair_gran_local,dyne
pilot_final,14,53,0.723066506,0.670208954,0.167316427,-0.361047942,0.361199,-288.935,-326.963,-59.9785,438.087816,243.148,83.6857,29.9106,liggghts_pair_gran_local,dyne
pilot_final,64,50,0.656245277,0.754531688,-0.00490592267,-0.398291939,0.398158,-124.107,-209.633,-3.36755,239.602639,268.209,74.3474,32.0873,liggghts_pair_gran_local,dyne
pilot_final,50,53,-0.945900582,0.324453565,0.00140489971,-0.446574542,0.446416,263.799,-107.674,3.4261,284.457683,264.524,88.1515,32.0424,liggghts_pair_gran_local,dyne
pilot_final,50,65,0.947416079,0.319858077,0.00967384852,-0.560279765,0.560676,-388.313,-101.677,3.29554,400.383453,288.66,88.0747,32.1476,liggghts_pair_gran_local,dyne
pilot_final,7,9,-0.967311536,0.249091059,-0.0475608737,-0.0319997444,0.0327557,381.484,-124.792,33.6553,401.699307,341.159,82.5552,13.6961,liggghts_pair_gran_local,dyne
pilot_final,90,69,0.999498514,-0.0137967221,-0.0285021153,-0.798361736,0.79812,-683.864,-51.6719,-98.3928,680.004003,90.4916,92.4451,32.6844,liggghts_pair_gran_local,dyne
pilot_final,9,65,-0.753822877,0.167042675,0.635490216,-0.425178377,0.424746,415.081,-61.1614,-370.626,558.643278,310.376,90.0014,24.1225,liggghts_pair_gran_local,dyne
